Data_Ground,GPM,Bulan_Tahun
-309969.0,-309969.0,1990-08
-299970.0,-299970.0,1990-09
-309969.0,-309969.0,1990-10
-299970.0,-299970.0,1990-11
-309969.0,-309969.0,1990-12
-309969.0,-309969.0,1991-01
-279972.0,-279972.0,1991-02
-309969.0,-309969.0,1991-03
-299970.0,-299970.0,1991-04
-309969.0,-309969.0,1991-05
-299970.0,-299970.0,1991-06
-309969.0,-309969.0,1991-07
-309969.0,-309969.0,1991-08
-299970.0,-299970.0,1991-09
-309969.0,-309969.0,1991-10
-299970.0,-299970.0,1991-11
-309969.0,-309969.0,1991-12
-309969.0,-309969.0,1992-01
-289971.0,-289971.0,1992-02
-309969.0,-309969.0,1992-03
-299970.0,-299970.0,1992-04
-309969.0,-309969.0,1992-05
-299970.0,-299970.0,1992-06
-309969.0,-309969.0,1992-07
-309969.0,-309969.0,1992-08
-299970.0,-299970.0,1992-09
-309969.0,-309969.0,1992-10
-299970.0,-299970.0,1992-11
-309969.0,-309969.0,1992-12
-309969.0,-309969.0,1993-01
-279972.0,-279972.0,1993-02
-309969.0,-309969.0,1993-03
-299970.0,-299970.0,1993-04
-309969.0,-309969.0,1993-05
-299970.0,-299970.0,1993-06
-309969.0,-309969.0,1993-07
-309969.0,-309969.0,1993-08
-299970.0,-299970.0,1993-09
-309969.0,-309969.0,1993-10
-299970.0,-299970.0,1993-11
-309969.0,-309969.0,1993-12
-309969.0,-309969.0,1994-01
-279972.0,-279972.0,1994-02
-309969.0,-309969.0,1994-03
-299970.0,-299970.0,1994-04
-309969.0,-309969.0,1994-05
-299970.0,-299970.0,1994-06
-309969.0,-309969.0,1994-07
-309969.0,-309969.0,1994-08
-299970.0,-299970.0,1994-09
-309969.0,-309969.0,1994-10
-299970.0,-299970.0,1994-11
-309969.0,-309969.0,1994-12
-309969.0,-309969.0,1995-01
-279972.0,-279972.0,1995-02
-309969.0,-309969.0,1995-03
-299970.0,-299970.0,1995-04
-309969.0,-309969.0,1995-05
-299970.0,-299970.0,1995-06
-309969.0,-309969.0,1995-07
-309969.0,-309969.0,1995-08
-299970.0,-299970.0,1995-09
-309969.0,-309969.0,1995-10
-299970.0,-299970.0,1995-11
-309969.0,-309969.0,1995-12
-309969.0,-309969.0,1996-01
-289971.0,-289971.0,1996-02
-309969.0,-309969.0,1996-03
-299970.0,-299970.0,1996-04
-309969.0,-309969.0,1996-05
-299970.0,-299970.0,1996-06
-309969.0,-309969.0,1996-07
-309969.0,-309969.0,1996-08
-299970.0,-299970.0,1996-09
-309969.0,-309969.0,1996-10
-299970.0,-299970.0,1996-11
-309969.0,-309969.0,1996-12
-309969.0,-309969.0,1997-01
-279972.0,-279972.0,1997-02
-309969.0,-309969.0,1997-03
-299970.0,-299970.0,1997-04
-309969.0,-309969.0,1997-05
-299970.0,-299970.0,1997-06
-309969.0,-309969.0,1997-07
-309969.0,-309969.0,1997-08
-299970.0,-299970.0,1997-09
-309969.0,-309969.0,1997-10
-299970.0,-299970.0,1997-11
-309969.0,-309969.0,1997-12
-309969.0,-309969.0,1998-01
-279972.0,-279972.0,1998-02
-309969.0,-309969.0,1998-03
-299970.0,-299970.0,1998-04
-309969.0,-309969.0,1998-05
-299970.0,-299970.0,1998-06
-309969.0,-309969.0,1998-07
-309969.0,-309969.0,1998-08
-299970.0,-299970.0,1998-09
-309969.0,-309969.0,1998-10
-299970.0,-299970.0,1998-11
-309969.0,-309969.0,1998-12
-309969.0,-309969.0,1999-01
-279972.0,-279972.0,1999-02
-309969.0,-309969.0,1999-03
-299970.0,-299970.0,1999-04
-309969.0,-309969.0,1999-05
-299970.0,-299970.0,1999-06
-309969.0,-309969.0,1999-07
-309969.0,-309969.0,1999-08
-299970.0,-299970.0,1999-09
-309969.0,-309969.0,1999-10
-299970.0,-299970.0,1999-11
-309969.0,-309969.0,1999-12
-309969.0,-309969.0,2000-01
-289971.0,-289971.0,2000-02
-309969.0,-309969.0,2000-03
-299970.0,-299970.0,2000-04
-309969.0,-309969.0,2000-05
-299970.0,-299970.0,2000-06
-309969.0,-309969.0,2000-07
-309969.0,-309969.0,2000-08
-299970.0,-299970.0,2000-09
-309969.0,-309969.0,2000-10
-299970.0,-299970.0,2000-11
-309969.0,-309969.0,2000-12
-309969.0,438.54659999999996,2001-01
-279972.0,235.338,2001-02
-309969.0,200.34789999999998,2001-03
-299970.0,256.6014,2001-04
-309969.0,148.1008,2001-05
-299970.0,344.59499999999997,2001-06
-309969.0,107.6472,2001-07
